YEAR;MO;DY;HOUR;T
2022;2;8;13;8.775
2022;2;8;14;8.401666667
2022;2;8;15;8.516666667
2022;2;8;16;8.69
2022;2;8;17;8.226666667
2022;2;8;18;7.99
2022;2;8;19;7.936666667
2022;2;8;20;7.806666667
2022;2;8;21;7.796666667
2022;2;8;22;7.695
2022;2;8;23;7.536666667
2022;2;9;0;7.488333333
2022;2;9;1;7.393333333
2022;2;9;2;7.301666667
2022;2;9;3;7.15
2022;2;9;4;6.963333333
2022;2;9;5;6.958333333
2022;2;9;6;7.096666667
2022;2;9;7;7.195
2022;2;9;8;7.13
2022;2;9;9;7.186666667
2022;2;9;10;7.315
2022;2;9;11;8.651666667
2022;2;9;12;9.965
2022;2;9;13;10.78833333
2022;2;9;14;12.06333333
2022;2;9;15;11.60833333
2022;2;9;16;10.415
2022;2;9;17;8.793333333
2022;2;9;18;7.048333333
2022;2;9;19;6.208333333
2022;2;9;20;5.608333333
2022;2;9;21;5.703333333
2022;2;9;22;5.368333333
2022;2;9;23;5.08
2022;2;10;0;4.313333333
2022;2;10;1;4.431666667
2022;2;10;2;3.723333333
2022;2;10;3;3.471666667
2022;2;10;4;3.193333333
2022;2;10;5;3.568333333
2022;2;10;6;4.378333333
2022;2;10;7;4.488333333
2022;2;10;8;4.898333333
2022;2;10;9;5.645
2022;2;10;10;6.103333333
2022;2;10;11;6.65
2022;2;10;12;6.533333333
2022;2;10;13;6.36
2022;2;10;14;6.323333333
2022;2;10;15;6.248333333
2022;2;10;16;6.088333333
2022;2;10;17;5.673333333
2022;2;10;18;5.345
2022;2;10;19;3.693333333
2022;2;10;20;2.865
2022;2;10;21;2.32
2022;2;10;22;1.463333333
2022;2;10;23;1.365
2022;2;11;0;1.303333333
2022;2;11;1;1.036666667
2022;2;11;2;1.088333333
2022;2;11;3;0.806666667
2022;2;11;4;1.161666667
2022;2;11;5;1.573333333
2022;2;11;6;1.946666667
